Sample no.,Frame no.,Pixels remaining,Label,>10k remaining?,,,,
29,,121,,0,,,,
28,,160,,0,,,,
27,,171,,0,,,,
26,,5001,,0,,,,
25,,132,,0,,,,
24,,14204,,1,,,,
23,,91,,0,,,,
22,,218,,0,,,,
21,,2873,,0,,,,
20,,33992,SCROLL,1,,,,
19,,121,,0,,,,
18,,191,,0,,,,
17,,4402,,0,,,,
16,,3109,,0,,,,
15,,133,,0,,,,
14,,778,,0,,,,
13,,11,,0,,,,
12,,133,,0,,,,
11,,6,,0,,,,
10,,336,,0,,,,
9,,1,,0,,,,
8,,121,,0,,,,
7,,161,,0,,,,
6,,142,,0,,,,
5,,1,,0,,,,
4,,80,,0,,,,
3,,76,,0,,,,
2,,190,,0,,,,
1,,184,,0,,,,
0,,1318,,0,,,,
